URL,Claimed_DA
https://nerdbol.com/,51
https://ventsmagazine.co.uk/,56
https://gorod.it.com/,91
https://westernbusiness.co.uk/,41
https://www.londondaily.news/,57
https://primeinsider.co.uk/,41
https://thetaxheaven.com/,54
http://charfen.co.uk/,44
https://coopmagazine.co.uk/,40
https://www.openpr.com/,72
https://managementworksmedia.com/,44
https://fourmagazine.co.uk/,43
https://imagefap.pro/,41
https://shkoh.com/,40
https://windmoonmagic.com/,39
https://nodlemagazine.org/,39
https://techbullion.com/,72
https://dotmagazine.co.uk/,35
https://theeuropetimes.co.uk/,40
https://mikewolfepassionproject.com/,38
https://breakingac.com/,41
https://ocnjdaily.com/,48
https://northpennnow.com/,38
https://seaislenews.com/,38
https://goodmenproject.com/,82
https://www.daily.uk.com/,34
https://orangedlp.com/,33
https://sfmcompileclub.org/,42
https://thebaddiehub.uk/,42
